time,H1,L1
1420878138.3051958,-1.8349594060296932e-22,-2.264519866760182e-22
1420878138.30544,5.888119272132138e-23,-4.7136450291127833e-23
1420878138.305684,-3.8068216184229626e-22,7.180826316923187e-23
1420878138.3059282,2.3100131198170195e-22,2.559575444925178e-22
1420878138.3061724,-2.4637672572906205e-22,-1.5872608456551998e-22
1420878138.3064165,6.064361013456965e-23,3.3192031546141956e-22
1420878138.3066607,-1.0644108642522923e-22,-3.355783903786155e-22
1420878138.3069048,4.37748842910781e-22,2.101305790099282e-22
1420878138.307149,-1.603026973241701e-22,4.7235314838630885e-23
1420878138.307393,-4.716143213644055e-23,2.417481407131908e-22
1420878138.3076372,-2.96521768970992e-22,-8.12141801821495e-24
1420878138.3078814,2.129339190830664e-22,-2.84014511732628e-22
1420878138.3081255,6.858466891326676e-23,4.329598334116206e-23
1420878138.3083696,1.4188551186654506e-22,2.3177528082206274e-22
1420878138.3086138,-1.1947412010923004e-22,4.9736125533347364e-23
1420878138.308858,2.580561376987925e-22,-3.794923079632433e-22
1420878138.309102,-4.793677442594697e-22,-1.897484753181311e-22
1420878138.3093462,7.108795773694767e-23,-1.5345945718062222e-22
1420878138.3095903,9.054018377456097e-23,5.289139308530338e-23
1420878138.3098345,-2.1589643245792943e-22,-1.7452704767248776e-22
1420878138.3100786,2.0912600244579295e-23,-3.9363129819706084e-22
1420878138.3103228,1.4909190388820408e-22,4.504140517397113e-22
1420878138.310567,-1.0070509619449068e-22,7.779740828865973e-23
1420878138.310811,-9.388585314414567e-23,-3.38235890465256e-22
1420878138.3110552,-1.3777085666279931e-22,-3.4314227733613365e-22
1420878138.3112993,4.0270809511007536e-22,-1.7204699230246054e-22
1420878138.3115435,5.289570200979631e-23,3.1486671868181612e-22
1420878138.3117876,-3.680034115154612e-22,-3.4777523371261424e-22
1420878138.3120317,5.079245323944672e-23,-1.8528345504728504e-22
1420878138.312276,9.169357497732163e-23,1.7597364487521279e-22
1420878138.31252,5.717481637180761e-24,-5.894389688440135e-22
1420878138.3127642,7.17983781827472e-25,1.2632547266822817e-23
1420878138.3130083,3.716921535951355e-22,2.6849405177735344e-22
1420878138.3132524,4.412841788994117e-24,-2.8608450510944568e-22
1420878138.3134966,-9.854800477318377e-23,-2.180853240226967e-23
1420878138.3137407,-2.3325217227365896e-22,-4.661566783640936e-22
1420878138.3139849,1.171783285211972e-22,-1.6930117720564352e-23
1420878138.314229,8.107643603351766e-23,-5.846263632338731e-24
1420878138.3144732,-7.182367093908527e-23,-1.5286491488967934e-22
1420878138.3147173,2.992998423399393e-22,-1.9090250949814508e-22
1420878138.3149614,-2.837106263963324e-22,-3.2091131449002085e-22
1420878138.3152056,3.3306914075435084e-22,1.331759862080754e-23
1420878138.3154497,1.2350469530230357e-22,1.465840779516331e-22
1420878138.3156939,-2.2070075255693605e-22,-1.630254548691609e-23
1420878138.315938,2.887566952196237e-22,-1.783662132658887e-22
1420878138.3161821,1.8579239104577064e-22,-2.5465740871688696e-23
1420878138.3164263,-1.750594162796682e-22,2.1960728992444055e-22
1420878138.3166704,5.794217235980835e-23,4.4362255786874705e-22
1420878138.3169146,2.895007257470727e-22,-1.2139483662224028e-22
1420878138.3171587,-1.627869502675537e-22,-1.8484247892504642e-22
